Date,Open,High,Low,Close,Adj.Close,Volume
6/30/2016,16.469999,16.469999,15.79,15.93,15.608759,72900
7/1/2016,16,16.200001,15.85,15.94,15.618556,35700
7/5/2016,16.16,16.16,15.72,15.76,15.442187,20800
7/6/2016,15.61,15.61,15.4,15.49,15.17763,31400
7/7/2016,15.57,15.68,15.51,15.55,15.236422,16900
7/8/2016,15.56,15.69,15.53,15.65,15.334405,20400
7/11/2016,15.77,16,15.55,15.9,15.579363,38100
7/12/2016,15.91,16.15,15.91,16.07,15.745935,26900
7/13/2016,16.07,16.190001,16.030001,16.15,15.824322,27500
7/14/2016,16.110001,16.25,15.92,16,15.677346,24300
7/15/2016,15.99,16.059999,15.69,15.96,15.638153,25800
7/18/2016,15.95,16.35,15.95,16.190001,15.863515,23300
7/19/2016,16.23,16.290001,16.16,16.200001,15.873313,19200
7/20/2016,16.200001,16.209999,16.02,16.030001,15.706743,20100
7/21/2016,16.25,16.25,16.1,16.15,15.824322,16400
7/22/2016,16.17,16.200001,16.1,16.1,15.775331,19500
7/25/2016,16.18,16.18,16.1,16.1,15.775331,14000
7/26/2016,16.110001,16.16,15.91,16.129999,15.804724,23400
7/27/2016,16.09,16.09,15.76,15.79,15.471581,23200
7/28/2016,15.83,15.93,15.72,15.72,15.402992,21000
7/29/2016,15.83,15.85,15.5,15.65,15.334405,49800
8/1/2016,15.66,15.86,15.56,15.83,15.510775,67400
8/2/2016,15.82,15.9,15.7,15.74,15.422589,19400
8/3/2016,15.72,15.85,15.71,15.85,15.530372,32300
8/4/2016,15.85,15.92,15.67,15.72,15.402992,17900
8/5/2016,15.81,16.08,15.78,15.97,15.647951,39500
8/8/2016,16.049999,16.379999,16.049999,16.370001,16.039886,45400
8/9/2016,16.4,16.4,16.299999,16.309999,15.981095,18700
8/10/2016,16.41,16.450001,16.290001,16.379999,16.049683,40100
8/11/2016,16.4,16.700001,16.4,16.6,16.265249,19600
8/12/2016,16.540001,16.66,16.52,16.620001,16.284843,15600
8/15/2016,16.6,16.620001,16.469999,16.57,16.235851,22400
8/16/2016,16.51,16.620001,16.309999,16.440001,16.108473,31300
8/17/2016,16.5,16.5,16.25,16.26,15.932104,16300
8/18/2016,16.16,16.65,16.16,16.58,16.245649,25500
8/19/2016,16.440001,16.49,16.26,16.35,16.02029,32700
8/22/2016,16.469999,16.469999,16.219999,16.32,15.990892,30800
8/23/2016,16.299999,16.43,16.24,16.4,16.069279,30200
8/24/2016,16.49,16.799999,16.42,16.790001,16.451418,30300
8/25/2016,16.709999,16.870001,16.700001,16.809999,16.47101,22900
8/26/2016,16.799999,16.85,16.6,16.620001,16.284843,23700
8/29/2016,16.620001,16.799999,16.549999,16.559999,16.226053,21200
8/30/2016,16.700001,16.75,16.51,16.59,16.255449,25300
8/31/2016,16.57,16.77,16.57,16.639999,16.304441,22800
9/1/2016,16.85,17.200001,16.85,17.040001,16.696375,35500
9/2/2016,17,17.200001,16.93,17.110001,16.764965,21800
9/6/2016,17.09,17.27,17.09,17.190001,16.843349,26100
9/7/2016,17.200001,17.309999,17.17,17.309999,16.960928,29700
9/8/2016,17.33,17.5,16.82,17.32,16.970726,32600
9/9/2016,17.280001,17.51,17.1,17.26,16.91194,62400
9/12/2016,17.450001,17.549999,16.700001,17.200001,16.853148,71500
9/13/2016,16.950001,17.219999,16.92,17.200001,16.853148,52400
9/14/2016,17.15,17.25,17.08,17.139999,16.794359,27900
9/15/2016,17.15,17.27,17.1,17.200001,16.853148,51300
9/16/2016,17.209999,17.34,17.059999,17.309999,16.960928,40300
9/19/2016,17.280001,17.280001,17.049999,17.209999,16.862944,31900
