Date,Open,High,Low,Close,Adj Close,Volume
8/5/2013,14.72,14.88,14.64,14.83,13.976929,4629700
8/6/2013,14.84,14.87,14.58,14.61,13.769584,5165200
8/7/2013,14.53,14.75,14.52,14.6,13.760163,6109500
8/8/2013,14.68,14.77,14.51,14.7,13.854405,8642400
8/9/2013,14.12,14.71,14.11,14.49,13.656488,22655600
8/12/2013,13.9,14.58,13.11,14.37,13.543389,6439200
8/13/2013,14.39,14.48,14.3,14.42,13.590513,4936700
8/14/2013,14.39,15.12,14.38,15.03,14.165425,20712700
8/15/2013,14.87,15.25,14.81,15.13,14.259672,18090400
8/16/2013,15.1,15.4,15.07,15.19,14.316219,16511400
8/19/2013,15.1,15.15,14.94,14.95,14.090027,9835800
8/20/2013,14.87,15.05,14.85,14.95,14.161068,5854800
8/21/2013,14.86,15.05,14.82,14.88,14.094765,6538500
8/22/2013,14.87,15.1,14.87,14.96,14.170542,3225400
8/23/2013,14.98,15.1,14.93,14.96,14.170542,6128000
8/26/2013,14.97,15.03,14.93,14.99,14.198955,7503800
8/27/2013,14.85,14.95,14.75,14.8,14.018985,6936600
8/28/2013,14.83,14.94,14.74,14.8,14.018985,7970600
8/29/2013,14.75,14.91,14.71,14.77,13.990566,6905400
8/30/2013,14.78,14.82,14.68,14.75,13.971622,9453000
9/3/2013,14.79,14.97,14.67,14.76,13.981098,7117000
9/4/2013,14.76,14.99,14.74,14.9,14.113706,5552000
9/5/2013,14.84,15,14.83,14.94,14.151596,4372600
9/6/2013,14.95,15.03,14.77,14.88,14.094765,5668900
9/9/2013,15,15.13,14.96,15.13,14.331571,6160200
9/10/2013,15.24,15.46,15.17,15.45,14.634684,7303300
9/11/2013,15.43,15.75,15.32,15.71,14.880963,9904100
9/12/2013,15.63,15.9,15.63,15.7,14.871492,7595200
9/13/2013,15.75,15.87,15.64,15.8,14.966211,3992400
9/16/2013,15.93,16.040001,15.75,15.81,14.975686,5785300
9/17/2013,15.87,15.99,15.8,15.86,15.023048,4215200
9/18/2013,15.87,16.040001,15.79,16,15.155658,6704200
9/19/2013,16.07,16.1,15.86,15.93,15.089355,5689300
9/20/2013,15.97,16.07,15.76,15.79,14.956742,8900900
9/23/2013,15.78,15.91,15.55,15.64,14.814657,6781100
9/24/2013,15.65,15.76,15.56,15.7,14.871492,5743300
9/25/2013,15.67,15.84,15.6,15.72,14.890436,5828900
9/26/2013,15.76,15.79,15.58,15.67,14.843075,3720400
9/27/2013,15.55,15.68,15.49,15.58,14.757822,3798000
9/30/2013,15.42,15.67,15.33,15.56,14.73888,5666000
10/1/2013,15.58,15.65,15.46,15.55,14.729407,5674400
10/2/2013,15.39,15.6,15.39,15.54,14.719934,4050900
10/3/2013,15.55,15.69,15.31,15.38,14.568377,10919200
10/4/2013,15.36,15.72,15.32,15.59,14.767295,6155700
10/7/2013,15.53,15.7,15.45,15.59,14.767295,4248800
10/8/2013,15.55,15.77,15.34,15.46,14.644156,7267800
10/9/2013,15.56,15.57,15.14,15.22,14.416821,6896500
10/10/2013,15.33,15.43,15.22,15.39,14.577851,5587100
10/11/2013,15.15,15.34,15.1,15.26,14.454711,5342600
10/14/2013,15.22,15.49,15.22,15.49,14.672573,4165700
10/15/2013,15.49,15.58,15.4,15.41,14.596794,5220500
10/16/2013,15.5,15.66,15.48,15.6,14.776767,5251800
10/17/2013,15.48,15.67,15.48,15.63,14.805184,5333100
10/18/2013,15.6,15.86,15.54,15.81,14.975686,6376700
10/21/2013,16,16.01,15.8,15.85,15.013575,4875200
10/22/2013,15.85,15.86,15.63,15.77,14.937798,4486300
10/23/2013,15.74,15.74,15.45,15.5,14.682044,6305400
10/24/2013,15.54,15.64,15.36,15.39,14.577851,5910900
10/25/2013,15.47,15.48,15.19,15.24,14.435763,8262300
10/28/2013,15.22,15.29,15,15.21,14.407349,9850600
10/29/2013,15.19,15.26,15.05,15.23,14.426293,9698800
10/30/2013,15.28,15.35,15.09,15.22,14.416821,5100800
10/31/2013,15.24,15.35,15.16,15.19,14.388403,7334200
11/1/2013,15.27,15.33,15.15,15.26,14.454711,5153400
11/4/2013,15.31,15.31,14.79,14.82,14.03793,10256600
11/5/2013,14.73,14.87,14.57,14.8,14.018985,10559200
11/6/2013,14.8,14.91,14.65,14.9,14.113706,4951100
11/7/2013,14.85,14.89,14.52,14.55,13.782177,13826900
11/8/2013,15,15.61,14.94,15.56,14.73888,18363300
11/11/2013,15.5,15.73,15.47,15.69,14.862018,7440600
11/12/2013,15.76,15.85,15.54,15.72,14.890436,7900800
11/13/2013,15.68,16.15,15.65,16.15,15.297743,8319800
11/14/2013,16.1,16.32,16.09,16.219999,15.364049,7699500
11/15/2013,16.280001,16.299999,16.01,16.17,15.316689,11258300
11/18/2013,15.82,15.96,15.74,15.78,14.947268,7923700
11/19/2013,15.62,15.76,15.42,15.44,14.704416,5167900
11/20/2013,15.45,15.49,15.18,15.21,14.485375,5119400
11/21/2013,15.23,15.36,15.16,15.33,14.59966,5339200
11/22/2013,15.35,15.35,15.15,15.18,14.456803,3966700
11/25/2013,15.18,15.53,15.18,15.51,14.771082,6205200
11/26/2013,15.68,15.81,15.58,15.64,14.894888,18829400
11/27/2013,15.63,15.75,15.53,15.7,14.952031,4531800
11/29/2013,15.7,15.74,15.5,15.6,14.856796,2924100
12/2/2013,15.54,15.86,15.51,15.75,14.999648,9346800
12/3/2013,15.75,15.96,15.64,15.74,14.990127,7264000
12/4/2013,15.7,15.99,15.66,15.96,15.199645,12329400
12/5/2013,15.99,15.99,15.68,15.7,14.952031,6795300
12/6/2013,15.89,15.89,15.43,15.47,14.732987,7025000
12/9/2013,15.47,15.52,15.18,15.21,14.485375,9630500
12/10/2013,15.21,15.63,15.19,15.56,14.818701,13106700
12/11/2013,15.59,15.61,15.38,15.41,14.675847,10353900
12/12/2013,15.36,15.44,15.08,15.11,14.39014,6468100
12/13/2013,15.14,15.25,15,15.02,14.304426,4614700
12/16/2013,15.03,15.17,15.02,15.04,14.323476,5940500
12/17/2013,15.03,15.15,14.9,15.11,14.39014,6852600
12/18/2013,15.14,15.35,14.95,15.32,14.590136,10655800
12/19/2013,15.3,15.4,15.2,15.38,14.647276,6463600
12/20/2013,15.41,15.7,15.37,15.69,14.942507,9552000
12/23/2013,15.78,15.91,15.65,15.78,15.028219,4214200
12/24/2013,15.87,15.87,15.66,15.82,15.066314,1990000
12/26/2013,15.88,15.93,15.63,15.67,14.92346,4223000
12/27/2013,15.75,15.79,15.66,15.76,15.009171,5274400
12/30/2013,15.77,15.98,15.75,15.97,15.209167,6204500
12/31/2013,16,16.1,15.9,16.02,15.256787,5894400
1/2/2014,15.92,15.98,15.72,15.86,15.10441,6502300
1/3/2014,15.89,15.92,15.62,15.67,14.92346,6483300
1/6/2014,15.83,16,15.68,15.88,15.123456,10237300
1/7/2014,16.040001,16.200001,15.93,16.139999,15.371069,8332200
1/8/2014,16.200001,16.440001,16.139999,16.360001,15.580588,7704800
1/9/2014,16.110001,16.139999,15.7,15.75,14.999648,7304300
1/10/2014,15.8,15.91,15.59,15.73,14.980601,5462300
1/13/2014,15.73,15.83,15.33,15.36,14.628229,6083300
1/14/2014,15.44,15.87,15.37,15.84,15.085362,6045700
1/15/2014,15.91,16.07,15.84,16.01,15.247264,4376100
1/16/2014,16.01,16.09,15.94,16.059999,15.294881,5516300
1/17/2014,16.059999,16.25,15.89,15.99,15.228217,8510000
1/21/2014,16.01,16.15,15.88,16.049999,15.285356,6151900
1/22/2014,16.08,16.1,15.84,16.030001,15.26631,8448500
1/23/2014,15.98,16.15,15.85,15.97,15.209167,4625700
1/24/2014,15.84,15.9,15.56,15.56,14.818701,6167400
1/27/2014,15.56,15.78,15.37,15.46,14.723465,5845300
1/28/2014,15.43,15.62,15.37,15.61,14.866321,4199900
1/29/2014,15.55,15.64,15.45,15.46,14.723465,4073600
1/30/2014,15.55,15.75,15.5,15.72,14.971078,5072400
1/31/2014,15.5,15.79,15.49,15.7,14.952031,8383700
2/3/2014,15.81,15.83,15.43,15.49,14.752035,10793200
2/4/2014,15.48,15.61,15.4,15.58,14.837748,7017300
2/5/2014,15.47,15.52,15.32,15.44,14.704416,5366900
2/6/2014,15.46,15.68,15.44,15.64,14.894888,4209500
2/7/2014,15.68,15.89,15.54,15.87,15.11393,3931200
2/10/2014,15.85,16.129999,15.84,15.92,15.161551,8109300
2/11/2014,16.01,16.290001,15.93,16.25,15.475829,5884600
2/12/2014,16.299999,16.950001,16.299999,16.83,16.028198,18613200
2/13/2014,17.25,17.459999,16.950001,17.360001,16.532946,22570900
2/14/2014,17.200001,17.950001,17.190001,17.91,17.056742,20438400
2/18/2014,17.92,17.98,17.75,17.9,17.047222,10724700
2/19/2014,17.9,18.299999,17.82,18.139999,17.275782,11258500
2/20/2014,18.18,18.82,18.15,18.780001,17.885302,9952200
2/21/2014,18.75,18.99,18.52,18.639999,17.751966,11276300
2/24/2014,18.6,19.049999,18.43,18.91,18.0091,10077800
2/25/2014,18.799999,18.879999,18.540001,18.74,17.927788,6054600
2/26/2014,18.700001,18.98,18.65,18.709999,17.899086,9022100
2/27/2014,18.709999,18.9,18.450001,18.5,17.698191,9721200
2/28/2014,18.4,18.58,18.110001,18.379999,17.583393,8042300
3/3/2014,17.969999,18.290001,17.809999,18.290001,17.497288,9398700
3/4/2014,18.379999,18.6,18.35,18.48,17.679054,6508600
3/5/2014,18.459999,18.65,18.379999,18.639999,17.832121,6036800
3/6/2014,18.67,18.77,18.35,18.379999,17.583393,7253600
3/7/2014,18.459999,18.49,18.219999,18.360001,17.564257,6711300
3/10/2014,18.299999,18.379999,18.01,18.09,17.305956,7522200
3/11/2014,18.18,18.43,18.120001,18.27,17.478157,7430500
3/12/2014,18.18,18.43,18.110001,18.32,17.525988,5985700
3/13/2014,18.360001,18.43,17.65,17.74,16.971127,9629300
3/14/2014,17.559999,17.98,17.559999,17.82,17.047657,11501200
3/17/2014,17.870001,18,17.799999,17.82,17.047657,7491400
3/18/2014,17.889999,18.360001,17.809999,18.24,17.449457,7347600
3/19/2014,18.379999,18.91,18.33,18.559999,17.755589,9154200
3/20/2014,18.459999,18.73,18.379999,18.57,17.765154,4795000
3/21/2014,18.73,18.879999,18.440001,18.540001,17.736452,14152900
3/24/2014,18.549999,18.700001,18.18,18.450001,17.650354,7652400
3/25/2014,18.65,18.67,18.309999,18.450001,17.650354,7610600
3/26/2014,18.620001,18.969999,17.870001,18.030001,17.24856,13943900
3/27/2014,17.99,18.139999,17.59,17.790001,17.018963,13518200
3/28/2014,17.76,18.01,17.709999,17.9,17.124195,9970500
3/31/2014,17.93,18.09,17.809999,17.91,17.133755,6835100
4/1/2014,18.48,18.870001,18.26,18.65,17.841684,16406800
4/2/2014,18.65,18.690001,18.450001,18.530001,17.726889,5998700
4/3/2014,18.57,19.18,18.559999,18.73,17.918221,14988700
4/4/2014,18.83,18.940001,18.07,18.15,17.363358,9200800
4/7/2014,18.16,18.559999,18.059999,18.209999,17.420753,10714400
4/8/2014,18.209999,18.91,18.18,18.860001,18.042585,11767300
4/9/2014,18.950001,19.110001,18.690001,18.84,18.023453,10549200
4/10/2014,18.76,19.02,18.32,18.379999,17.583393,9318700
4/11/2014,18.24,18.52,17.879999,18.120001,17.33466,8827800
4/14/2014,18.24,18.389999,18.120001,18.32,17.525988,7254600
4/15/2014,18.34,18.549999,18.16,18.450001,17.650354,7615900
4/16/2014,18.540001,18.559999,18.26,18.49,17.688622,5878400
4/17/2014,18.42,18.73,18.379999,18.559999,17.755589,3838300
4/21/2014,18.57,18.76,18.450001,18.709999,17.899086,2925100
4/22/2014,18.74,18.99,18.639999,18.870001,18.052153,6378000
4/23/2014,18.9,19.139999,18.870001,19.09,18.262615,6539500
4/24/2014,19.219999,19.459999,19.219999,19.26,18.425247,9787300
4/25/2014,19.219999,19.4,18.690001,18.73,17.918221,7840000
4/28/2014,18.879999,18.98,18.42,18.65,17.841684,5669700
4/29/2014,18.719999,18.76,18.48,18.690001,17.879951,4282500
4/30/2014,18.66,18.68,18.43,18.469999,17.669491,7643500
5/1/2014,18.75,18.790001,18.42,18.57,17.765154,4952600
5/2/2014,18.66,18.66,18.32,18.43,17.63122,3909400
5/5/2014,18.41,18.77,18.389999,18.629999,17.822554,5981500
5/6/2014,18.809999,18.969999,18.200001,18.25,17.459023,10404700
5/7/2014,18.25,18.42,18.07,18.27,17.478157,7347500
5/8/2014,18.200001,18.790001,18.110001,18.5,17.698191,10818200
5/9/2014,17.940001,18.110001,17.709999,18.049999,17.267693,13488300
5/12/2014,18.09,18.620001,18.08,18.58,17.774719,7496400
5/13/2014,18.33,18.629999,18.219999,18.280001,17.487724,5527600
5/14/2014,18.290001,18.360001,18.09,18.1,17.315527,5358000
5/15/2014,18.059999,18.16,17.82,18,17.219858,8147400
5/16/2014,17.860001,18.09,17.860001,17.959999,17.181591,7099000
5/19/2014,18.15,18.639999,18.07,18.540001,17.736452,9001900
5/20/2014,18.459999,18.51,18.15,18.24,17.529827,6405000
5/21/2014,18.309999,18.469999,18.129999,18.24,17.529827,5417800
5/22/2014,18.200001,18.42,18.200001,18.32,17.60671,3259100
5/23/2014,18.42,18.58,18.309999,18.49,17.770092,4566400
5/27/2014,18.6,18.82,18.540001,18.82,18.087244,5242000
5/28/2014,18.889999,19.1,18.709999,18.98,18.241011,5616900
5/29/2014,18.969999,19.129999,18.91,18.950001,18.212179,4297100
5/30/2014,18.950001,19.049999,18.85,19,18.260241,5978200
6/2/2014,19.059999,19.18,18.780001,18.940001,18.202572,4537500
6/3/2014,18.98,19,18.610001,18.860001,18.125685,6080300
6/4/2014,18.809999,19.02,18.799999,18.879999,18.144907,4030900
6/5/2014,18.91,19.02,18.799999,18.959999,18.221794,4717400
6/6/2014,19.049999,19.200001,18.98,19.030001,18.289068,4026300
6/9/2014,19.01,19.23,18.879999,19.049999,18.308289,6186400
6/10/2014,18.98,19.24,18.9,19.15,18.404394,5440200
6/11/2014,19.08,19.450001,19.08,19.4,18.644661,6655700
6/12/2014,19.4,19.610001,19.23,19.52,18.759987,8428700
6/13/2014,19.719999,19.73,19.35,19.540001,18.779207,5696300
6/16/2014,19.450001,19.610001,19.309999,19.48,18.721546,4965500
6/17/2014,19.5,19.690001,19.4,19.610001,18.846483,3940200
6/18/2014,19.559999,19.68,19.379999,19.59,18.827271,5388400
6/19/2014,19.23,19.33,19,19.139999,18.394783,11864800
6/20/2014,19.190001,19.26,18.780001,18.93,18.192961,8828700
6/23/2014,18.68,18.719999,18.459999,18.709999,17.981525,10355000
6/24/2014,18.68,18.83,18.34,18.42,17.70282,6894500
6/25/2014,18.469999,18.620001,18.299999,18.610001,17.88542,5385500
6/26/2014,18.610001,18.620001,18.299999,18.360001,17.645155,6422700
6/27/2014,18.34,18.49,18.23,18.379999,17.664373,7570500
6/30/2014,18.309999,18.59,18.309999,18.540001,17.818144,4512800
7/1/2014,18.52,18.860001,18.459999,18.75,18.019968,8029500
7/2/2014,18.68,18.76,18.57,18.68,17.952692,4482100
7/3/2014,18.51,18.9,18.51,18.85,18.116074,3422300
7/7/2014,18.879999,18.889999,18.67,18.700001,17.97192,3187400
7/8/2014,18.65,18.73,18.370001,18.549999,17.827753,5548500
7/9/2014,18.709999,19.190001,18.57,19.110001,18.365953,9691700
7/10/2014,18.75,19.09,18.6,19.01,18.269846,6657700
7/11/2014,19.030001,19.110001,18.959999,19.049999,18.308289,4779700
7/14/2014,19.129999,19.34,19.059999,19.290001,18.538944,6815900
7/15/2014,19.32,19.42,19.190001,19.370001,18.615828,9886000
7/16/2014,19.450001,19.6,19.24,19.35,18.596609,7993200
7/17/2014,19.129999,19.5,19.129999,19.299999,18.548552,8120800
7/18/2014,18.9,19.049999,18.41,18.440001,17.72204,14195400
7/21/2014,18.370001,18.68,18.370001,18.549999,17.827753,6084100
7/22/2014,18.690001,18.790001,18.43,18.469999,17.750872,7470400
7/23/2014,18.48,18.49,18.059999,18.08,17.376055,7433800
7/24/2014,18.18,18.23,17.98,18.110001,17.404888,6364400
7/25/2014,18.049999,18.09,17.76,17.790001,17.097349,6653300
7/28/2014,17.870001,17.870001,17.42,17.719999,17.030071,8258800
7/29/2014,17.73,18.02,17.719999,17.780001,17.087738,5449300
7/30/2014,17.889999,18.129999,17.84,18.08,17.376055,6154600
7/31/2014,17.860001,18,17.469999,17.5,16.81864,10047000
8/1/2014,17.5,17.790001,17.440001,17.690001,17.001238,5497100
8/4/2014,17.67,17.82,17.559999,17.65,16.962797,6043100
8/5/2014,17.6,17.92,17.450001,17.66,16.97241,7453400
8/6/2014,17.540001,17.860001,17.41,17.639999,16.953182,5586400
8/7/2014,17.790001,17.950001,17.34,17.459999,16.780195,10192400
8/8/2014,18.219999,19.1,18.219999,19,18.260241,22358700
8/11/2014,19.02,19.1,18.85,18.9,18.164129,8615600
8/12/2014,18.889999,19,18.690001,18.9,18.164129,7403800
8/13/2014,18.93,19.17,18.809999,19.01,18.269846,6414900
8/14/2014,19.08,19.08,18.719999,18.799999,18.068022,6399800
8/15/2014,18.860001,19.15,18.68,19.040001,18.298677,9244900
8/18/2014,19.120001,19.32,18.93,19.299999,18.548552,7101900
8/19/2014,19.219999,19.469999,19.15,19.370001,18.698177,6206500
8/20/2014,19.299999,19.389999,19.200001,19.25,18.582338,5536700
8/21/2014,19.200001,19.299999,19.040001,19.07,18.408585,6819900
8/22/2014,19.049999,19.24,18.93,19.08,18.418236,6280600
8/25/2014,19.16,19.290001,19.07,19.110001,18.447197,3834500
8/26/2014,19.16,19.49,19.09,19.450001,18.775404,6740900
8/27/2014,19.33,19.48,19.200001,19.23,18.563034,4574300
8/28/2014,19.190001,19.43,19.129999,19.389999,18.717482,4492600
8/29/2014,19.459999,19.49,19.25,19.450001,18.775404,5198300
9/2/2014,19.5,19.5,19.32,19.5,18.823668,4815900
9/3/2014,19.6,19.75,19.469999,19.68,18.997425,6486400
9/4/2014,19.65,20.15,19.639999,20.030001,19.335287,12295800
9/5/2014,20.01,20.1,19.84,19.969999,19.277363,6344800
9/8/2014,19.950001,19.99,19.709999,19.790001,19.103611,7982200
9/9/2014,19.700001,19.83,19.52,19.540001,18.86228,4964700
9/10/2014,19.65,19.68,19.43,19.610001,18.929853,4309400
9/11/2014,19.469999,19.540001,19.200001,19.41,18.736784,6268000
9/12/2014,19.530001,19.530001,19.1,19.120001,18.456848,6563400
9/15/2014,19.18,19.209999,18.780001,18.860001,18.205866,7353800
9/16/2014,18.809999,19.24,18.75,19.139999,18.476154,5498400
9/17/2014,19.09,19.33,19,19.15,18.485807,4339600
9/18/2014,19.27,19.459999,19.209999,19.440001,18.765749,5490100
9/19/2014,19.5,19.52,19.049999,19.08,18.418236,15032900
9/22/2014,19.469999,19.469999,18.870001,18.889999,18.234825,5536600
9/23/2014,18.790001,19.02,18.719999,18.809999,18.157597,4903600
9/24/2014,18.799999,18.98,18.780001,18.92,18.263786,3989800
9/25/2014,18.9,18.950001,18.469999,18.51,17.86801,7461000
9/26/2014,18.57,18.690001,18.49,18.549999,17.906616,6029700
9/29/2014,18.4,18.65,18.219999,18.52,17.877655,5213500
9/30/2014,18.440001,18.58,18.23,18.450001,17.810089,6930100
10/1/2014,18.48,18.610001,18.219999,18.27,17.63633,8774400
10/2/2014,18.24,18.33,17.77,18.190001,17.559107,7224900
10/3/2014,18.299999,18.549999,18.23,18.23,17.597717,5978500
10/6/2014,18.299999,18.450001,18,18.120001,17.491533,4975800
10/7/2014,18.040001,18.219999,17.91,17.93,17.308126,7547400
10/8/2014,17.91,18.35,17.77,18.26,17.626677,6504300
10/9/2014,18.18,18.200001,17.76,17.91,17.288813,7673900
10/10/2014,17.77,17.83,16.84,16.85,16.265583,17284400
10/13/2014,16.959999,17.299999,16.77,16.790001,16.207663,9940700
10/14/2014,17.02,17.65,16.92,17.18,16.584137,9415500
10/15/2014,16.93,17.530001,16.82,17.440001,16.835121,10110700
10/16/2014,17.129999,17.65,17.09,17.450001,16.84477,8777900
10/17/2014,17.66,17.860001,17.35,17.42,16.815809,7267900
10/20/2014,17.42,17.73,17.299999,17.57,16.960611,5008400
10/21/2014,17.700001,18.34,17.65,18.32,17.684595,8777300
10/22/2014,18.290001,18.35,17.889999,17.889999,17.269512,5987800
10/23/2014,18.200001,18.42,18.07,18.290001,17.655636,5361900
10/24/2014,18.4,18.59,18.290001,18.48,17.839046,5253900
10/27/2014,18.469999,18.559999,18.27,18.49,17.8487,3627300
10/28/2014,18.440001,18.950001,18.42,18.93,18.273439,4814500
10/29/2014,18.85,18.959999,18.639999,18.809999,18.157597,4208500
10/30/2014,18.76,18.84,18.450001,18.690001,18.041761,4256500
10/31/2014,19.120001,19.549999,19.02,19.540001,18.86228,6407900
11/3/2014,19.99,20.059999,19.77,19.870001,19.180838,7718300
11/4/2014,20,20.200001,19.67,20.129999,19.431824,9004900
11/5/2014,20.25,20.26,19.98,20.129999,19.431824,8391300
11/6/2014,20.17,20.25,19.860001,20.219999,19.518696,9852200
11/7/2014,20.450001,20.690001,19.59,19.790001,19.103611,11270000
11/10/2014,19.77,20.15,19.719999,20.02,19.325636,7334700
11/11/2014,19.9,20.01,19.610001,19.780001,19.09396,5324800
11/12/2014,19.709999,19.76,19.379999,19.65,18.968466,5114600
