Month,100 metres,400 metres,10000 metres
1896-04,18.957,16.51,
1896-05,18.957,16.51,
1896-06,18.957,16.51,
1896-07,18.957,16.51,
1896-08,18.957,16.51,
1896-09,18.957,16.51,
1896-10,18.957,16.51,
1896-11,18.957,16.51,
1896-12,18.957,16.51,
1897-01,18.957,16.51,
1897-02,18.957,16.51,
1897-03,18.957,16.51,
1897-04,18.957,16.51,
1897-05,18.957,16.51,
1897-06,18.957,16.51,
1897-07,18.957,16.51,
1897-08,18.957,16.51,
1897-09,18.957,16.51,
1897-10,18.957,16.51,
1897-11,18.957,16.51,
1897-12,18.957,16.51,
1898-01,18.957,16.51,
1898-02,18.957,16.51,
1898-03,18.957,16.51,
1898-04,18.957,16.51,
1898-05,18.957,16.51,
1898-06,18.957,16.51,
1898-07,18.957,16.51,
1898-08,18.957,16.51,
1898-09,18.957,16.51,
1898-10,18.957,16.51,
1898-11,18.957,16.51,
1898-12,18.957,16.51,
1899-01,18.957,16.51,
1899-02,18.957,16.51,
1899-03,18.957,16.51,
1899-04,18.957,16.51,
1899-05,18.957,16.51,
1899-06,18.957,16.51,
1899-07,18.957,16.51,
1899-08,18.957,16.51,
1899-09,18.957,16.51,
1899-10,18.957,16.51,
1899-11,18.957,16.51,
1899-12,18.957,16.51,
1900-01,18.957,16.51,
1900-02,18.957,16.51,
1900-03,18.957,16.51,
1900-04,18.957,16.51,
1900-05,18.957,16.51,
1900-06,18.957,16.51,
1900-07,20.712,18.11,
1900-08,20.712,18.11,
1900-09,20.712,18.11,
1900-10,20.712,18.11,
1900-11,20.712,18.11,
1900-12,20.712,18.11,
1901-01,20.712,18.11,
1901-02,20.712,18.11,
1901-03,20.712,18.11,
1901-04,20.712,18.11,
1901-05,20.712,18.11,
1901-06,20.712,18.11,
1901-07,20.712,18.11,
1901-08,20.712,18.11,
1901-09,20.712,18.11,
1901-10,20.712,18.11,
1901-11,20.712,18.11,
1901-12,20.712,18.11,
1902-01,20.712,18.11,
1902-02,20.712,18.11,
1902-03,20.712,18.11,
1902-04,20.712,18.11,
1902-05,20.712,18.11,
1902-06,20.712,18.11,
1902-07,20.712,18.11,
1902-08,20.712,18.11,
1902-09,20.712,18.11,
1902-10,20.712,18.11,
1902-11,20.712,18.11,
1902-12,20.712,18.11,
1903-01,20.712,18.11,
1903-02,20.712,18.11,
1903-03,20.712,18.11,
1903-04,20.712,18.11,
1903-05,20.712,18.11,
1903-06,20.712,18.11,
1903-07,20.712,18.11,
1903-08,20.712,18.11,
1903-09,20.712,18.11,
1903-10,20.712,18.11,
1903-11,20.712,18.11,
1903-12,20.712,18.11,
1904-01,20.712,18.11,
1904-02,20.712,18.11,
1904-03,20.712,18.11,
1904-04,20.712,18.11,
1904-05,20.712,18.11,
1904-06,20.712,18.11,
1904-07,20.712,18.11,
1904-08,20.712,18.19,
1904-09,20.712,18.19,
1904-10,20.712,18.19,
1904-11,20.712,18.19,
1904-12,20.712,18.19,
1905-01,20.712,18.19,
1905-02,20.712,18.19,
1905-03,20.712,18.19,
1905-04,20.712,18.19,
1905-05,20.712,18.19,
1905-06,20.712,18.19,
1905-07,20.712,18.19,
1905-08,20.712,18.19,
1905-09,20.712,18.19,
1905-10,20.712,18.19,
1905-11,20.712,18.19,
1905-12,20.712,18.19,
1906-01,20.712,18.19,
1906-02,20.712,18.19,
1906-03,20.712,18.19,
1906-04,20.712,18.19,
1906-05,20.712,18.19,
1906-06,20.712,18.19,
1906-07,20.712,18.19,
1906-08,20.712,18.19,
