"city","year","weekofyear","total_cases"
"sj",2008,18,7
"sj",2008,19,6
"sj",2008,20,7
"sj",2008,21,7
"sj",2008,22,7
"sj",2008,23,7
"sj",2008,24,6
"sj",2008,25,7
"sj",2008,26,7
"sj",2008,27,6
"sj",2008,28,6
"sj",2008,29,6
"sj",2008,30,7
"sj",2008,31,7
"sj",2008,32,6
"sj",2008,33,7
"sj",2008,34,6
"sj",2008,35,6
"sj",2008,36,7
"sj",2008,37,7
"sj",2008,38,6
"sj",2008,39,6
"sj",2008,40,7
"sj",2008,41,6
"sj",2008,42,7
"sj",2008,43,6
"sj",2008,44,6
"sj",2008,45,6
"sj",2008,46,6
"sj",2008,47,6
"sj",2008,48,6
"sj",2008,49,6
"sj",2008,50,6
"sj",2008,51,7
"sj",2008,52,6
"sj",2009,1,6
"sj",2009,2,6
"sj",2009,3,6
"sj",2009,4,7
"sj",2009,5,6
"sj",2009,6,6
"sj",2009,7,7
"sj",2009,8,7
"sj",2009,9,7
"sj",2009,10,7
"sj",2009,11,7
"sj",2009,12,7
"sj",2009,13,7
"sj",2009,14,7
"sj",2009,15,7
"sj",2009,16,7
"sj",2009,17,8
"sj",2009,18,7
"sj",2009,19,7
"sj",2009,20,6
"sj",2009,21,6
"sj",2009,22,6
"sj",2009,23,7
"sj",2009,24,7
"sj",2009,25,7
"sj",2009,26,7
"sj",2009,27,7
"sj",2009,28,7
"sj",2009,29,7
"sj",2009,30,7
"sj",2009,31,7
"sj",2009,32,7
"sj",2009,33,7
"sj",2009,34,7
"sj",2009,35,7
"sj",2009,36,8
"sj",2009,37,6
"sj",2009,38,7
"sj",2009,39,7
"sj",2009,40,7
"sj",2009,41,7
"sj",2009,42,7
"sj",2009,43,7
"sj",2009,44,7
"sj",2009,45,7
"sj",2009,46,6
"sj",2009,47,7
"sj",2009,48,7
"sj",2009,49,6
"sj",2009,50,6
"sj",2009,51,6
"sj",2009,52,7
"sj",2010,53,7
"sj",2010,1,7
"sj",2010,2,7
"sj",2010,3,5
"sj",2010,4,6
"sj",2010,5,6
"sj",2010,6,7
"sj",2010,7,7
"sj",2010,8,7
"sj",2010,9,7
"sj",2010,10,7
"sj",2010,11,7
"sj",2010,12,7
"sj",2010,13,7
"sj",2010,14,8
"sj",2010,15,7
"sj",2010,16,7
"sj",2010,17,7
"sj",2010,18,7
"sj",2010,19,6
"sj",2010,20,6
"sj",2010,21,7
"sj",2010,22,6
"sj",2010,23,7
"sj",2010,24,6
"sj",2010,25,6
"sj",2010,26,6
"sj",2010,27,6
"sj",2010,28,7
"sj",2010,29,6
"sj",2010,30,6
"sj",2010,31,6
"sj",2010,32,7
"sj",2010,33,6
"sj",2010,34,7
"sj",2010,35,6
"sj",2010,36,7
"sj",2010,37,6
"sj",2010,38,7
"sj",2010,39,6
"sj",2010,40,6
"sj",2010,41,7
"sj",2010,42,7
"sj",2010,43,7
"sj",2010,44,7
"sj",2010,45,6
"sj",2010,46,6
"sj",2010,47,6
"sj",2010,48,6
"sj",2010,49,7
"sj",2010,50,6
"sj",2010,51,7
"sj",2011,52,6
"sj",2011,1,6
"sj",2011,2,7
"sj",2011,3,6
"sj",2011,4,6
"sj",2011,5,6
"sj",2011,6,6
"sj",2011,7,6
"sj",2011,8,6
"sj",2011,9,7
"sj",2011,10,6
"sj",2011,11,7
"sj",2011,12,7
"sj",2011,13,7
"sj",2011,14,7
"sj",2011,15,7
"sj",2011,16,6
"sj",2011,17,7
"sj",2011,18,6
"sj",2011,19,6
"sj",2011,20,7
"sj",2011,21,5
"sj",2011,22,6
"sj",2011,23,6
"sj",2011,24,6
"sj",2011,25,6
"sj",2011,26,7
"sj",2011,27,6
"sj",2011,28,6
"sj",2011,29,6
"sj",2011,30,6
"sj",2011,31,6
"sj",2011,32,6
"sj",2011,33,7
"sj",2011,34,6
"sj",2011,35,6
"sj",2011,36,7
"sj",2011,37,7
"sj",2011,38,6
"sj",2011,39,6
"sj",2011,40,7
"sj",2011,41,7
"sj",2011,42,7
"sj",2011,43,6
"sj",2011,44,6
"sj",2011,45,7
"sj",2011,46,6
"sj",2011,47,6
"sj",2011,48,6
"sj",2011,49,6
"sj",2011,50,6
"sj",2011,51,6
"sj",2012,52,6
"sj",2012,1,6
"sj",2012,2,6
"sj",2012,3,6
"sj",2012,4,6
"sj",2012,5,6
"sj",2012,6,6
"sj",2012,7,7
"sj",2012,8,6
"sj",2012,9,7
"sj",2012,10,7
"sj",2012,11,6
"sj",2012,12,7
"sj",2012,13,6
"sj",2012,14,7
"sj",2012,15,7
"sj",2012,16,7
"sj",2012,17,8
"sj",2012,18,7
"sj",2012,19,6
"sj",2012,20,6
"sj",2012,21,6
"sj",2012,22,7
"sj",2012,23,7
"sj",2012,24,7
"sj",2012,25,8
"sj",2012,26,8
"sj",2012,27,7
"sj",2012,28,7
"sj",2012,29,7
"sj",2012,30,6
"sj",2012,31,7
"sj",2012,32,6
"sj",2012,33,7
"sj",2012,34,7
"sj",2012,35,6
"sj",2012,36,7
"sj",2012,37,7
"sj",2012,38,7
"sj",2012,39,7
"sj",2012,40,7
"sj",2012,41,7
"sj",2012,42,7
"sj",2012,43,7
"sj",2012,44,7
"sj",2012,45,7
"sj",2012,46,7
"sj",2012,47,6
"sj",2012,48,6
"sj",2012,49,6
"sj",2012,50,7
"sj",2012,51,7
"sj",2013,1,7
"sj",2013,2,6
"sj",2013,3,6
"sj",2013,4,6
"sj",2013,5,6
"sj",2013,6,6
"sj",2013,7,7
"sj",2013,8,7
"sj",2013,9,7
"sj",2013,10,8
"sj",2013,11,7
"sj",2013,12,7
"sj",2013,13,8
"sj",2013,14,7
"sj",2013,15,7
"sj",2013,16,7
"sj",2013,17,7
"iq",2010,26,4
"iq",2010,27,4
"iq",2010,28,3
"iq",2010,29,3
"iq",2010,30,4
"iq",2010,31,4
"iq",2010,32,3
"iq",2010,33,4
"iq",2010,34,4
"iq",2010,35,3
"iq",2010,36,3
"iq",2010,37,4
"iq",2010,38,3
"iq",2010,39,4
"iq",2010,40,3
"iq",2010,41,3
"iq",2010,42,3
"iq",2010,43,3
"iq",2010,44,3
"iq",2010,45,3
"iq",2010,46,3
"iq",2010,47,3
"iq",2010,48,3
"iq",2010,49,3
"iq",2010,50,3
"iq",2010,51,3
"iq",2011,52,3
"iq",2011,1,4
"iq",2011,2,4
"iq",2011,3,4
"iq",2011,4,4
"iq",2011,5,4
"iq",2011,6,4
"iq",2011,7,4
"iq",2011,8,4
"iq",2011,9,4
"iq",2011,10,4
"iq",2011,11,4
"iq",2011,12,4
"iq",2011,13,3
"iq",2011,14,4
"iq",2011,15,4
"iq",2011,16,4
"iq",2011,17,4
"iq",2011,18,3
"iq",2011,19,4
"iq",2011,20,4
"iq",2011,21,4
"iq",2011,22,4
"iq",2011,23,4
"iq",2011,24,4
"iq",2011,25,4
"iq",2011,26,4
"iq",2011,27,4
"iq",2011,28,4
"iq",2011,29,4
"iq",2011,30,4
"iq",2011,31,4
"iq",2011,32,4
"iq",2011,33,4
"iq",2011,34,4
"iq",2011,35,4
"iq",2011,36,4
"iq",2011,37,4
"iq",2011,38,4
"iq",2011,39,4
"iq",2011,40,4
"iq",2011,41,4
"iq",2011,42,3
"iq",2011,43,3
"iq",2011,44,4
"iq",2011,45,3
"iq",2011,46,3
"iq",2011,47,3
"iq",2011,48,3
"iq",2011,49,3
"iq",2011,50,3
"iq",2011,51,3
"iq",2012,52,3
"iq",2012,1,4
"iq",2012,2,4
"iq",2012,3,4
"iq",2012,4,4
"iq",2012,5,4
"iq",2012,6,3
"iq",2012,7,4
"iq",2012,8,4
"iq",2012,9,4
"iq",2012,10,4
"iq",2012,11,4
"iq",2012,12,4
"iq",2012,13,4
"iq",2012,14,4
"iq",2012,15,4
"iq",2012,16,4
"iq",2012,17,4
"iq",2012,18,4
"iq",2012,19,4
"iq",2012,20,4
"iq",2012,21,4
"iq",2012,22,4
"iq",2012,23,4
"iq",2012,24,3
"iq",2012,25,4
"iq",2012,26,4
"iq",2012,27,4
"iq",2012,28,4
"iq",2012,29,4
"iq",2012,30,4
"iq",2012,31,4
"iq",2012,32,4
"iq",2012,33,4
"iq",2012,34,4
"iq",2012,35,4
"iq",2012,36,4
"iq",2012,37,4
"iq",2012,38,4
"iq",2012,39,4
"iq",2012,40,4
"iq",2012,41,3
"iq",2012,42,3
"iq",2012,43,3
"iq",2012,44,3
"iq",2012,45,4
"iq",2012,46,3
"iq",2012,47,3
"iq",2012,48,3
"iq",2012,49,3
"iq",2012,50,3
"iq",2012,51,3
"iq",2013,1,3
"iq",2013,2,4
"iq",2013,3,4
"iq",2013,4,4
"iq",2013,5,4
"iq",2013,6,3
"iq",2013,7,4
"iq",2013,8,3
"iq",2013,9,3
"iq",2013,10,3
"iq",2013,11,3
"iq",2013,12,3
"iq",2013,13,3
"iq",2013,14,4
"iq",2013,15,4
"iq",2013,16,3
"iq",2013,17,3
"iq",2013,18,4
"iq",2013,19,3
"iq",2013,20,4
"iq",2013,21,4
"iq",2013,22,4
"iq",2013,23,4
"iq",2013,24,4
"iq",2013,25,4
"iq",2013,26,4
