"city","year","weekofyear","total_cases"
"sj",2008,18,24
"sj",2008,19,22
"sj",2008,20,36
"sj",2008,21,25
"sj",2008,22,35
"sj",2008,23,14
"sj",2008,24,10
"sj",2008,25,45
"sj",2008,26,20
"sj",2008,27,44
"sj",2008,28,14
"sj",2008,29,23
"sj",2008,30,52
"sj",2008,31,20
"sj",2008,32,25
"sj",2008,33,48
"sj",2008,34,34
"sj",2008,35,32
"sj",2008,36,51
"sj",2008,37,58
"sj",2008,38,40
"sj",2008,39,58
"sj",2008,40,32
"sj",2008,41,37
"sj",2008,42,60
"sj",2008,43,37
"sj",2008,44,33
"sj",2008,45,17
"sj",2008,46,112
"sj",2008,47,72
"sj",2008,48,47
"sj",2008,49,28
"sj",2008,50,40
"sj",2008,51,39
"sj",2008,52,23
"sj",2009,1,16
"sj",2009,2,28
"sj",2009,3,28
"sj",2009,4,32
"sj",2009,5,26
"sj",2009,6,17
"sj",2009,7,39
"sj",2009,8,30
"sj",2009,9,25
"sj",2009,10,31
"sj",2009,11,NA
"sj",2009,12,28
"sj",2009,13,32
"sj",2009,14,89
"sj",2009,15,16
"sj",2009,16,NA
"sj",2009,17,10
"sj",2009,18,36
"sj",2009,19,31
"sj",2009,20,34
"sj",2009,21,37
"sj",2009,22,NA
"sj",2009,23,20
"sj",2009,24,NA
"sj",2009,25,56
"sj",2009,26,12
"sj",2009,27,42
"sj",2009,28,29
"sj",2009,29,72
"sj",2009,30,32
"sj",2009,31,59
"sj",2009,32,35
"sj",2009,33,29
"sj",2009,34,NA
"sj",2009,35,NA
"sj",2009,36,34
"sj",2009,37,30
"sj",2009,38,61
"sj",2009,39,14
"sj",2009,40,NA
"sj",2009,41,51
"sj",2009,42,60
"sj",2009,43,26
"sj",2009,44,NA
"sj",2009,45,NA
"sj",2009,46,NA
"sj",2009,47,45
"sj",2009,48,22
"sj",2009,49,50
"sj",2009,50,24
"sj",2009,51,33
"sj",2009,52,12
"sj",2010,53,NA
"sj",2010,1,35
"sj",2010,2,16
"sj",2010,3,46
"sj",2010,4,26
"sj",2010,5,42
"sj",2010,6,55
"sj",2010,7,NA
"sj",2010,8,14
"sj",2010,9,76
"sj",2010,10,NA
"sj",2010,11,26
"sj",2010,12,30
"sj",2010,13,26
"sj",2010,14,21
"sj",2010,15,12
"sj",2010,16,NA
"sj",2010,17,19
"sj",2010,18,19
"sj",2010,19,18
"sj",2010,20,25
"sj",2010,21,31
"sj",2010,22,50
"sj",2010,23,16
"sj",2010,24,41
"sj",2010,25,25
"sj",2010,26,22
"sj",2010,27,24
"sj",2010,28,81
"sj",2010,29,26
"sj",2010,30,29
"sj",2010,31,25
"sj",2010,32,NA
"sj",2010,33,22
"sj",2010,34,51
"sj",2010,35,NA
"sj",2010,36,60
"sj",2010,37,23
"sj",2010,38,44
"sj",2010,39,NA
"sj",2010,40,34
"sj",2010,41,56
"sj",2010,42,58
"sj",2010,43,29
"sj",2010,44,26
"sj",2010,45,46
"sj",2010,46,27
"sj",2010,47,14
"sj",2010,48,13
"sj",2010,49,28
"sj",2010,50,17
"sj",2010,51,22
"sj",2011,52,25
"sj",2011,1,67
"sj",2011,2,NA
"sj",2011,3,21
"sj",2011,4,19
"sj",2011,5,11
"sj",2011,6,12
"sj",2011,7,NA
"sj",2011,8,18
"sj",2011,9,25
"sj",2011,10,27
"sj",2011,11,27
"sj",2011,12,NA
"sj",2011,13,22
"sj",2011,14,47
"sj",2011,15,28
"sj",2011,16,NA
"sj",2011,17,20
"sj",2011,18,11
"sj",2011,19,17
"sj",2011,20,NA
"sj",2011,21,57
"sj",2011,22,32
"sj",2011,23,22
"sj",2011,24,43
"sj",2011,25,33
"sj",2011,26,46
"sj",2011,27,20
"sj",2011,28,NA
"sj",2011,29,NA
"sj",2011,30,28
"sj",2011,31,23
"sj",2011,32,NA
"sj",2011,33,58
"sj",2011,34,101
"sj",2011,35,18
"sj",2011,36,NA
"sj",2011,37,34
"sj",2011,38,29
"sj",2011,39,29
"sj",2011,40,90
"sj",2011,41,30
"sj",2011,42,17
"sj",2011,43,14
"sj",2011,44,30
"sj",2011,45,57
"sj",2011,46,16
"sj",2011,47,11
"sj",2011,48,13
"sj",2011,49,40
"sj",2011,50,NA
"sj",2011,51,45
"sj",2012,52,49
"sj",2012,1,26
"sj",2012,2,16
"sj",2012,3,9
"sj",2012,4,23
"sj",2012,5,19
"sj",2012,6,16
"sj",2012,7,21
"sj",2012,8,32
"sj",2012,9,29
"sj",2012,10,24
"sj",2012,11,18
"sj",2012,12,NA
"sj",2012,13,80
"sj",2012,14,18
"sj",2012,15,39
"sj",2012,16,45
"sj",2012,17,24
"sj",2012,18,22
"sj",2012,19,33
"sj",2012,20,17
"sj",2012,21,64
"sj",2012,22,9
"sj",2012,23,35
"sj",2012,24,NA
"sj",2012,25,NA
"sj",2012,26,NA
"sj",2012,27,34
"sj",2012,28,23
"sj",2012,29,NA
"sj",2012,30,25
"sj",2012,31,34
"sj",2012,32,NA
"sj",2012,33,34
"sj",2012,34,47
"sj",2012,35,37
"sj",2012,36,31
"sj",2012,37,60
"sj",2012,38,35
"sj",2012,39,38
"sj",2012,40,NA
"sj",2012,41,27
"sj",2012,42,NA
"sj",2012,43,17
"sj",2012,44,28
"sj",2012,45,NA
"sj",2012,46,28
"sj",2012,47,63
"sj",2012,48,12
"sj",2012,49,NA
"sj",2012,50,18
"sj",2012,51,15
"sj",2013,1,18
"sj",2013,2,21
"sj",2013,3,20
"sj",2013,4,18
"sj",2013,5,37
"sj",2013,6,22
"sj",2013,7,21
"sj",2013,8,15
"sj",2013,9,29
"sj",2013,10,NA
"sj",2013,11,23
"sj",2013,12,26
"sj",2013,13,21
"sj",2013,14,22
"sj",2013,15,17
"sj",2013,16,34
"sj",2013,17,17
"iq",2010,26,8
"iq",2010,27,8
"iq",2010,28,6
"iq",2010,29,10
"iq",2010,30,6
"iq",2010,31,10
"iq",2010,32,10
"iq",2010,33,7
"iq",2010,34,NA
"iq",2010,35,9
"iq",2010,36,9
"iq",2010,37,10
"iq",2010,38,7
"iq",2010,39,2
"iq",2010,40,13
"iq",2010,41,9
"iq",2010,42,12
"iq",2010,43,8
"iq",2010,44,11
"iq",2010,45,2
"iq",2010,46,9
"iq",2010,47,10
"iq",2010,48,11
"iq",2010,49,12
"iq",2010,50,9
"iq",2010,51,7
"iq",2011,52,9
"iq",2011,1,1
"iq",2011,2,10
"iq",2011,3,6
"iq",2011,4,7
"iq",2011,5,8
"iq",2011,6,7
"iq",2011,7,8
"iq",2011,8,6
"iq",2011,9,9
"iq",2011,10,8
"iq",2011,11,1
"iq",2011,12,6
"iq",2011,13,7
"iq",2011,14,4
"iq",2011,15,8
