"city","year","weekofyear","total_cases"
"sj",2008,18,5
"sj",2008,19,5
"sj",2008,20,6
"sj",2008,21,7
"sj",2008,22,8
"sj",2008,23,9
"sj",2008,24,10
"sj",2008,25,11
"sj",2008,26,13
"sj",2008,27,14
"sj",2008,28,16
"sj",2008,29,17
"sj",2008,30,19
"sj",2008,31,20
"sj",2008,32,22
"sj",2008,33,23
"sj",2008,34,25
"sj",2008,35,26
"sj",2008,36,28
"sj",2008,37,29
"sj",2008,38,30
"sj",2008,39,31
"sj",2008,40,32
"sj",2008,41,33
"sj",2008,42,33
"sj",2008,43,34
"sj",2008,44,35
"sj",2008,45,36
"sj",2008,46,38
"sj",2008,47,39
"sj",2008,48,40
"sj",2008,49,41
"sj",2008,50,43
"sj",2008,51,45
"sj",2008,52,46
"sj",2009,1,48
"sj",2009,2,50
"sj",2009,3,52
"sj",2009,4,54
"sj",2009,5,56
"sj",2009,6,59
"sj",2009,7,61
"sj",2009,8,63
"sj",2009,9,65
"sj",2009,10,67
"sj",2009,11,68
"sj",2009,12,69
"sj",2009,13,68
"sj",2009,14,68
"sj",2009,15,66
"sj",2009,16,64
"sj",2009,17,60
"sj",2009,18,57
"sj",2009,19,53
"sj",2009,20,48
"sj",2009,21,44
"sj",2009,22,40
"sj",2009,23,36
"sj",2009,24,32
"sj",2009,25,29
"sj",2009,26,26
"sj",2009,27,23
"sj",2009,28,21
"sj",2009,29,19
"sj",2009,30,17
"sj",2009,31,16
"sj",2009,32,14
"sj",2009,33,13
"sj",2009,34,12
"sj",2009,35,11
"sj",2009,36,10
"sj",2009,37,9
"sj",2009,38,8
"sj",2009,39,7
"sj",2009,40,7
"sj",2009,41,6
"sj",2009,42,6
"sj",2009,43,6
"sj",2009,44,6
"sj",2009,45,6
"sj",2009,46,6
"sj",2009,47,6
"sj",2009,48,6
"sj",2009,49,6
"sj",2009,50,7
"sj",2009,51,7
"sj",2009,52,8
"sj",2010,53,9
"sj",2010,1,9
"sj",2010,2,10
"sj",2010,3,11
"sj",2010,4,12
"sj",2010,5,13
"sj",2010,6,14
"sj",2010,7,15
"sj",2010,8,17
"sj",2010,9,18
"sj",2010,10,19
"sj",2010,11,20
"sj",2010,12,22
"sj",2010,13,23
"sj",2010,14,24
"sj",2010,15,25
"sj",2010,16,27
"sj",2010,17,28
"sj",2010,18,29
"sj",2010,19,31
"sj",2010,20,32
"sj",2010,21,34
"sj",2010,22,35
"sj",2010,23,37
"sj",2010,24,39
"sj",2010,25,40
"sj",2010,26,42
"sj",2010,27,44
"sj",2010,28,47
"sj",2010,29,49
"sj",2010,30,52
"sj",2010,31,54
"sj",2010,32,57
"sj",2010,33,60
"sj",2010,34,63
"sj",2010,35,66
"sj",2010,36,69
"sj",2010,37,71
"sj",2010,38,73
"sj",2010,39,74
"sj",2010,40,75
"sj",2010,41,75
"sj",2010,42,73
"sj",2010,43,70
"sj",2010,44,67
"sj",2010,45,62
"sj",2010,46,57
